iter	Logloss
0	0.6672759871
1	0.6441871623
2	0.6243588585
3	0.6072896102
4	0.5913892673
5	0.5776691934
6	0.5658288646
7	0.5556328066
8	0.5466785583
9	0.5384734331
10	0.5317025023
11	0.524866034
12	0.5193517331
13	0.5146854085
14	0.5102024263
15	0.5063211274
16	0.5025775517
17	0.4992358047
18	0.4962712845
19	0.49354616
20	0.4910481093
21	0.4889777176
22	0.4868156936
23	0.4848921882
24	0.4837808717
25	0.4827073368
26	0.4810907387
27	0.4798696986
28	0.4785070702
29	0.4776391087
30	0.4766107838
31	0.4756786349
32	0.4747187055
33	0.4739340475
34	0.4732216945
35	0.4723206217
36	0.471647787
37	0.4710990683
38	0.4704945715
39	0.4697278888
40	0.4691777843
41	0.4684750649
42	0.4677567445
43	0.4672671113
44	0.4669075065
45	0.4663612892
46	0.4658162509
47	0.4653513441
48	0.4648937858
49	0.464513936
50	0.464195247
51	0.4636863769
52	0.4633570592
53	0.4629083226
54	0.4624998643
55	0.4622153616
56	0.461838907
57	0.4615094663
58	0.4612097045
59	0.460951563
60	0.4607392455
61	0.4604518279
62	0.4601650806
63	0.4598911999
64	0.4595699159
65	0.4592474055
66	0.4588980853
67	0.458640298
68	0.4583211414
69	0.45808808
70	0.4578849076
71	0.4575351011
72	0.4572087387
73	0.45684852
74	0.4565817106
75	0.4563497642
76	0.4561172799
77	0.455938748
78	0.4556748481
79	0.4554279263
80	0.4552292138
81	0.4549585122
82	0.4547930902
83	0.4544890566
84	0.4542029876
85	0.4540089552
86	0.453812476
87	0.4536367916
88	0.4534070087
89	0.4531543135
90	0.4529445241
91	0.4527376204
92	0.4525362504
93	0.4523233245
94	0.4521569744
95	0.4519104022
96	0.4517145423
97	0.4515567706
98	0.4513632462
99	0.4512234547
100	0.4510136609
101	0.4508411881
102	0.4506719177
103	0.4504358393
104	0.4502881185
105	0.4501610435
106	0.4499593956
107	0.449729258
108	0.4495220978
109	0.4493251626
110	0.4491339784
111	0.4489779326
112	0.4488407688
113	0.4487137524
114	0.4485121105
115	0.4483787419
116	0.4482166094
117	0.448068253
118	0.4479196927
119	0.4477715696
120	0.4476437209
121	0.4474885812
122	0.4473404946
123	0.4472306277
124	0.4470665427
125	0.4468386413
126	0.4467302953
127	0.4465667282
128	0.4464383
129	0.4462848744
130	0.4461056582
131	0.4459363435
132	0.4457091811
133	0.4455628929
134	0.4454050201
135	0.4452781556
136	0.4451631363
137	0.4450516244
138	0.444923485
139	0.4447716757
140	0.4447128329
141	0.4445856437
142	0.4444935927
143	0.4444077167
144	0.4443073396
145	0.4441779388
146	0.4440760626
147	0.4439284011
148	0.4437754138
149	0.4436412369
150	0.4434971397
151	0.4433596031
152	0.4432742529
153	0.443182768
154	0.4430677773
155	0.4429095817
156	0.4427397434
157	0.4425866823
158	0.4424257504
159	0.4422471736
160	0.4420664617
161	0.4419741658
162	0.4418350383
163	0.4416774294
164	0.4414987947
165	0.4414177678
166	0.4412910496
167	0.4411498881
168	0.4409762774
169	0.4408054549
170	0.4406116551
171	0.440488639
172	0.4403708421
173	0.4402667723
174	0.4401184509
175	0.4400408536
176	0.4399167647
177	0.4397813733
178	0.4396496879
179	0.439509824
180	0.4393694133
181	0.4392419701
182	0.439078592
183	0.4389654036
184	0.438875314
185	0.4386999911
186	0.4385635397
187	0.4384341068
188	0.4382810625
189	0.4381362935
190	0.4379955921
191	0.4378784092
192	0.4377563704
193	0.4376294979
194	0.4374773545
195	0.4373034951
196	0.4371795976
197	0.4370156137
198	0.4368849288
199	0.436777982
