iter	Passed	Remaining
0	141	140864
1	148	74134
2	156	51978
3	163	40824
4	171	34098
5	178	29590
6	187	26599
7	194	24134
8	203	22352
9	212	21026
10	219	19777
11	227	18745
12	234	17840
13	242	17078
14	250	16450
15	258	15903
16	266	15405
17	273	14940
18	283	14644
19	291	14275
20	300	14009
21	308	13693
22	317	13488
23	325	13249
24	334	13050
25	344	12886
26	352	12692
27	361	12541
28	369	12363
29	379	12260
30	386	12083
31	395	11965
32	403	11810
33	413	11737
34	421	11617
35	431	11550
36	438	11408
37	447	11335
38	457	11270
39	465	11163
40	474	11104
41	482	11008
42	492	10951
43	499	10859
44	508	10798
45	516	10705
46	525	10654
47	533	10577
48	542	10529
49	552	10497
50	559	10418
51	567	10348
52	575	10274
53	582	10206
54	591	10154
55	598	10094
56	606	10028
57	615	9991
58	624	9955
59	631	9896
60	639	9847
61	647	9802
62	657	9778
63	665	9738
64	674	9707
65	682	9663
66	692	9637
67	700	9596
68	708	9558
69	717	9528
70	725	9491
71	733	9454
72	741	9419
73	750	9393
74	758	9355
75	766	9320
76	774	9282
77	782	9255
78	790	9218
79	799	9191
80	806	9154
81	815	9127
82	823	9093
83	833	9091
84	841	9061
85	849	9028
86	857	8996
87	865	8965
88	872	8932
89	880	8907
90	888	8878
91	896	8846
92	904	8816
93	911	8783
94	918	8753
95	926	8721
96	934	8695
97	941	8669
98	952	8664
99	960	8642
100	968	8617
101	976	8596
102	988	8606
103	996	8586
104	1003	8556
105	1011	8534
106	1021	8521
107	1030	8511
108	1038	8488
109	1047	8476
110	1057	8465
111	1067	8462
112	1075	8439
113	1084	8429
114	1093	8417
115	1102	8399
116	1111	8390
117	1119	8367
118	1128	8356
119	1136	8334
120	1145	8323
121	1153	8301
122	1162	8290
123	1170	8267
124	1179	8257
125	1187	8235
126	1196	8225
127	1203	8202
128	1213	8191
129	1220	8167
130	1229	8158
131	1237	8137
132	1247	8131
133	1255	8115
134	1264	8104
135	1272	8086
136	1281	8069
137	1288	8048
138	1296	8030
139	1304	8011
140	1312	7996
141	1320	7976
142	1327	7956
143	1334	7933
144	1342	7914
145	1349	7893
146	1357	7874
147	1364	7856
148	1372	7838
149	1380	7820
150	1388	7806
151	1396	7790
152	1406	7784
153	1413	7765
154	1422	7753
155	1429	7734
156	1438	7724
157	1446	7706
158	1456	7705
159	1463	7685
160	1473	7678
161	1484	7677
162	1496	7682
163	1506	7678
164	1514	7666
165	1524	7657
166	1531	7641
167	1540	7629
168	1548	7614
169	1557	7606
170	1566	7596
171	1575	7582
172	1583	7569
173	1590	7550
174	1599	7538
175	1606	7522
176	1614	7507
177	1622	7494
178	1630	7480
179	1638	7463
180	1645	7446
181	1654	7437
182	1662	7423
183	1671	7413
184	1678	7395
185	1688	7388
186	1695	7373
187	1704	7362
188	1712	7347
189	1720	7336
190	1728	7320
191	1736	7309
192	1744	7293
193	1753	7284
194	1760	7269
195	1770	7260
196	1778	7247
197	1786	7237
198	1795	7225
199	1803	7212
200	1811	7199
201	1819	7187
202	1827	7176
203	1835	7163
204	1843	7151
205	1850	7134
206	1859	7122
207	1867	7111
208	1875	7099
209	1883	7085
210	1891	7072
211	1898	7057
212	1906	7042
213	1913	7028
214	1921	7014
215	1928	7000
216	1937	6989
217	1944	6975
218	1951	6960
219	1959	6946
220	1966	6931
221	1973	6917
222	1981	6904
223	1988	6889
224	1995	6874
225	2002	6859
226	2011	6848
227	2018	6833
228	2025	6820
229	2033	6806
230	2040	6792
231	2047	6778
232	2055	6765
233	2063	6756
234	2072	6746
235	2080	6734
236	2088	6722
237	2095	6709
238	2103	6696
239	2110	6683
240	2118	6670
241	2125	6659
242	2133	6646
243	2140	6632
244	2147	6618
245	2155	6606
246	2162	6592
247	2170	6582
248	2177	6567
249	2185	6556
250	2192	6542
251	2199	6528
252	2206	6515
253	2213	6502
254	2221	6489
255	2228	6476
256	2236	6465
257	2243	6452
258	2250	6439
259	2257	6426
260	2264	6413
261	2276	6411
262	2284	6401
263	2291	6387
264	2299	6377
265	2306	6364
266	2313	6352
267	2321	6340
268	2329	6329
269	2336	6317
270	2343	6304
271	2351	6292
272	2358	6280
273	2365	6267
274	2372	6254
275	2380	6243
276	2387	6230
277	2394	6218
278	2401	6207
279	2408	6193
280	2415	6181
281	2423	6170
282	2431	6159
283	2439	6149
284	2446	6138
285	2453	6126
286	2460	6112
287	2468	6101
288	2475	6089
289	2483	6080
290	2491	6070
291	2498	6059
292	2505	6045
293	2515	6041
294	2523	6030
295	2530	6018
296	2538	6009
297	2546	5998
298	2553	5987
299	2561	5976
300	2568	5965
301	2576	5953
302	2583	5942
303	2590	5931
304	2597	5919
305	2606	5911
306	2613	5900
307	2620	5888
308	2628	5877
309	2635	5865
310	2642	5854
311	2650	5845
312	2658	5834
313	2665	5824
314	2672	5812
315	2698	5840
316	2706	5831
317	2713	5820
318	2720	5808
319	2728	5797
320	2735	5785
321	2742	5775
322	2749	5763
323	2757	5753
324	2764	5741
325	2772	5731
326	2780	5723
327	2787	5711
328	2795	5700
329	2802	5689
330	2810	5679
331	2817	5668
332	2824	5658
333	2832	5647
334	2840	5638
335	2847	5627
336	2855	5617
337	2863	5609
338	2871	5598
339	2878	5588
340	2885	5576
341	2893	5566
342	2901	5557
343	2909	5547
344	2916	5537
345	2923	5526
346	2930	5515
347	2938	5504
348	2945	5493
349	2952	5483
350	2959	5472
351	2967	5462
352	2974	5451
353	2981	5440
354	2988	5430
355	2996	5420
356	3003	5410
357	3010	5399
358	3018	5388
359	3025	5378
360	3033	5369
361	3040	5358
362	3048	5350
363	3055	5339
364	3063	5329
365	3070	5319
366	3077	5308
367	3085	5298
368	3093	5289
369	3101	5281
370	3108	5271
371	3117	5262
372	3124	5252
373	3132	5242
374	3139	5233
375	3147	5223
376	3153	5211
377	3161	5201
378	3168	5191
379	3175	5181
380	3183	5171
381	3190	5161
382	3197	5150
383	3204	5140
384	3211	5130
385	3219	5121
386	3227	5112
387	3234	5102
388	3241	5091
389	3249	5081
390	3256	5071
391	3263	5061
392	3270	5051
393	3277	5041
394	3285	5032
395	3292	5022
396	3300	5012
397	3307	5003
398	3317	4996
399	3324	4987
400	3334	4981
401	3342	4972
402	3351	4964
403	3359	4955
404	3367	4947
405	3375	4937
406	3383	4929
407	3390	4919
408	3399	4912
409	3406	4902
410	3415	4895
411	3423	4886
412	3432	4879
413	3442	4872
414	3450	4864
415	3459	4857
416	3467	4848
417	3475	4839
418	3484	4831
419	3493	4823
420	3500	4814
421	3509	4806
422	3516	4796
423	3524	4787
424	3532	4779
425	3541	4771
426	3547	4761
427	3555	4752
428	3563	4742
429	3570	4732
430	3577	4722
431	3584	4712
432	3590	4702
433	3598	4693
434	3606	4684
435	3613	4674
436	3620	4664
437	3628	4655
438	3634	4645
439	3642	4636
440	3649	4626
441	3656	4616
442	3664	4607
443	3672	4598
444	3679	4588
445	3686	4579
446	3693	4569
447	3700	4559
448	3708	4550
449	3714	4540
450	3722	4531
451	3731	4523
452	3738	4514
453	3745	4504
454	3753	4496
455	3761	4487
456	3769	4479
457	3777	4469
458	3786	4462
459	3794	4454
460	3802	4445
461	3809	4436
462	3817	4427
463	3824	4417
464	3831	4407
465	3838	4398
466	3846	4390
467	3853	4380
468	3861	4371
469	3868	4362
470	3875	4352
471	3883	4343
472	3890	4334
473	3898	4325
474	3905	4316
475	3912	4307
476	3919	4298
477	3927	4289
478	3936	4281
479	3943	4271
480	3950	4262
481	3958	4253
482	3965	4244
483	3973	4236
484	3980	4227
485	3987	4217
486	3994	4208
487	4001	4198
488	4009	4189
489	4016	4180
490	4023	4171
491	4033	4164
492	4040	4155
493	4048	4147
494	4055	4137
495	4063	4129
496	4071	4120
497	4078	4111
498	4085	4101
499	4092	4092
500	4099	4082
501	4106	4073
502	4113	4064
503	4121	4055
504	4128	4046
505	4136	4038
506	4145	4030
507	4152	4021
508	4160	4012
509	4168	4004
510	4175	3995
511	4182	3986
512	4191	3979
513	4198	3970
514	4206	3961
515	4213	3951
516	4219	3942
517	4227	3933
518	4234	3924
519	4242	3916
520	4249	3906
521	4256	3898
522	4264	3889
523	4271	3880
524	4279	3871
525	4286	3862
526	4294	3854
527	4302	3845
528	4309	3836
529	4316	3827
530	4323	3818
531	4330	3809
532	4336	3799
533	4345	3792
534	4353	3783
535	4360	3774
536	4367	3765
537	4375	3757
538	4381	3747
539	4389	3739
540	4396	3730
541	4404	3722
542	4411	3713
543	4419	3704
544	4426	3695
545	4433	3686
546	4440	3677
547	4448	3668
548	4455	3660
549	4462	3651
550	4470	3642
